Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
37065084.0,18659541.0,18405543.0,19.57131,1.486745,5.83,1725329192783.02,0.107327045107965,-29334899428.9271,13266.020123287573,21.99,78.22858224968,2018,Canada
36545236.0,18406915.0,18138320.0,19.53366,1.518612,6.34,1649265644244.09,3.94780673121747,-20974072080.866,13266.020123287573,22.47,78.22858224968,2017,Canada
36109487.0,18192222.0,17917265.0,19.47841,1.944528,7.0,1527994741907.43,-0.211138436577443,-18668313909.4663,13266.020123287573,22.05,78.22858224968,2016,Canada
35702908.0,17988513.0,17714395.0,19.92307,1.643415,6.91,1556508816217.14,-3.53043317108977,-23844486211.652,13266.020123287573,22.69,74.089062024806,2015,Canada
35437435.0,17855282.0,17582153.0,20.17706,1.714031,6.91,1805749878439.94,1.42377259830727,-29178622922.1416,15588.4871464315,22.49,73.1928743182183,2014,Canada
35082954.0,17680037.0,17402916.0,20.32709,1.774879,7.07,1846597421834.98,1.44060964678785,-28124404589.2011,15750.8116334788,22.44,73.1735157237361,2013,Canada
34714222.0,17500980.0,17213242.0,20.46259,1.752882,7.29,1828366481521.6,0.488209556851999,-32442609375.4632,15336.6248565213,22.17,74.4394791451663,2012,Canada
34339328.0,17318413.0,17020916.0,20.28539,1.787921,7.51,1793326630174.52,3.21847229215714,-33872856854.8681,15644.54027755,21.84,74.6917469799152,2011,Canada
34004889.0,17152260.0,16852629.0,20.15052,1.807495,8.06,1617343367486.26,4.73109739747133,-31965433370.1396,15269.745476893,21.88,75.3853926921305,2010,Canada
33628895.0,16962677.0,16666218.0,20.28522,1.954076,8.34,1374625142157.29,-7.43992359070211,-23668970343.8019,15450.7306885938,22.5,75.0660005129962,2009,Canada
33247118.0,16769997.0,16477121.0,21.45989,1.940858,6.14,1552989690721.65,0.0998438567298336,-22817244611.059,16377.4796961349,21.91,75.0760026838519,2008,Canada
32889025.0,16588348.0,16300676.0,21.6659,2.000905,6.04,1468820407783.26,2.13213892464242,-21620891909.5056,16683.1336593286,21.84,74.7355837888856,2007,Canada
32571174.0,16427039.0,16144134.0,22.1062,2.112003,6.32,1319264809590.97,2.62118411938552,-20994358251.0578,16508.3395520223,21.92,74.5630719142971,2006,Canada
32243753.0,16263117.0,15980635.0,22.6905,2.122047,6.76,1173108598778.68,4.47054414965626,-23986631457.3362,16948.2752209397,21.99,75.745137887563,2005,Canada
31940655.0,16112389.0,15828266.0,23.0488,2.023168,7.19,1026690238278.25,3.03708167414058,-22129131437.3559,17264.7367438144,21.58,75.1971356476301,2004,Canada
