Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
1402760000.0,685468978.0,717291023.0,27.59801,26.0337,4.31,13894817549374.2,3.51673630135711,-61028947256.6496,1080.45521311811,13.71,76.19176385018748,2018,China
1396215000.0,682006802.0,714208198.0,28.10759,26.98,4.47,12310409370892.8,6.199394340056,-16130804617.683,1080.45521311811,13.13,76.19176385018748,2017,China
1387790000.0,677689913.0,710100087.0,28.80041,27.7,4.56,11233276536737.2,7.59127528448485,-55700290899.2407,1080.45521311811,12.56,76.19176385018748,2016,China
1379860000.0,673690703.0,706169297.0,29.18079,28.59174,4.65,11061553079876.4,6.35134201791037,-52782008187.8767,1080.45521311811,12.18,76.19176385018748,2015,China
1371860000.0,669700351.0,702159650.0,29.90066,29.49999,4.63,10475682920594.5,7.98134452711685,13299595834.5549,3905.31759800563,11.94,87.6704307681854,2014,China
1363240000.0,665447390.0,697792609.0,30.10002,31.39999,4.6,9570406235659.64,5.24888981009271,-77827211317.3447,3757.18508846571,11.45,88.2374925685652,2013,China
1354190000.0,661013974.0,693176026.0,30.29987,33.60001,4.58,8532229986993.65,9.50423331325345,-19817589004.008,3466.01953935563,11.53,88.4191622067537,2012,China
1345035000.0,656550787.0,688484213.0,29.50004,34.80001,4.55,7551500124203.36,4.26439466006394,-70376627420.8761,3295.78486805176,11.34,88.8983629317114,2011,China
1337705000.0,652992671.0,684712330.0,28.7001,36.7,4.53,6087163874512.21,8.19197751060972,-26071897189.1941,2943.58995443689,12.26,88.2551986732039,2010,China
1331260000.0,649891191.0,681368810.0,27.80007,38.09999,4.72,5101703073086.04,12.3409121050911,-8532080921.91903,2612.45662004417,13.43,87.635694692845,2009,China
1324655000.0,646729218.0,677925783.0,27.19985,39.59999,4.59,4594307032660.79,5.79624186449843,28565223680.6885,2446.36905458402,14.14,87.2240518182102,2008,China
1317885000.0,643486317.0,674398683.0,26.79998,40.8,4.35,3550342737010.84,14.5979978835883,8040661168.58373,2325.92676902765,14.88,87.4078573323802,2007,China
1311020000.0,640203444.0,670816557.0,25.19961,42.6,4.43,2752131773355.16,13.969172682339,-5142352826.89968,2039.0146603408,16.39,86.8283422182192,2006,China
1303720000.0,636711861.0,667008138.0,23.80009,44.8,4.52,2285965892360.54,12.2644779573688,-16108690294.4726,1782.31215291627,17.44,85.8727359992899,2005,China
1296075000.0,633047012.0,663027988.0,22.49957,46.89999,4.49,1955347004963.27,10.2247041243648,-5131610464.18901,1585.83878247787,20.17,84.7964546509664,2004,China
1288400000.0,629369651.0,659030348.0,21.59982,49.1,4.58,1660287965662.68,10.86633635079,-10218488498.2483,1379.48463210183,23.86,83.2297577410762,2003,China
1280400000.0,625534993.0,654865007.0,21.39583,50.01,4.24,1470550015081.55,11.8043002091974,-14945148120.0918,1194.85629490784,27.0,81.202125230752,2002,China
1271850000.0,621436557.0,650413443.0,22.2955,50.00999,3.8,1339395718865.3,10.1708045450057,-19173026754.5396,1076.54912135865,28.36,80.1974022674318,2001,China
1262645000.0,617082063.0,645562937.0,22.49564,50.01,3.26,1211346869605.24,8.61394410919512,-14665541196.3662,992.943384720171,29.63,79.8413558376096,2000,China
1252735000.0,612456939.0,640278062.0,23.00028,50.1,3.25,1093997267271.06,8.11454911955984,-14470281999.9274,913.963447975829,30.506048980242,79.4000083961012,1999,China
1241935000.0,607370114.0,634564886.0,23.50028,49.80001,3.24,1029043097554.08,6.84141058005332,-16643705999.4444,870.617222318398,29.7399014806871,78.9940358838221,1998,China
1230075000.0,601754660.0,628320340.0,23.70007,49.90001,3.23,961603952951.82,8.39368925809845,-11003670000.4824,852.740686543503,30.1834816771978,78.9351141704471,1997,China
1217550000.0,595844663.0,621705337.0,23.49982,50.5,3.12,863746717503.789,11.3235883475597,-12436999999.9999,821.080859102296,30.5371754582264,78.9858756104578,1996,China
1204855000.0,589847916.0,615007084.0,23.00013,52.19999,3.0,734547898220.508,8.877031169637172,-11774422982.5045,770.280241190849,29.4721113943924,78.4278583846591,1995,China
1191835000.0,583693488.0,608141512.0,22.69953,54.3,2.9,564324670005.917,8.877031169637172,-1035999999.99999,727.107359659684,31.2494841669185,77.0450401308995,1994,China
1178440000.0,577345024.0,601094975.0,22.40023,56.39999,2.69,444731282436.762,8.877031169637172,-922345255.756526,662.63704558569,31.6777918019623,76.4687872871531,1993,China
1164970000.0,570952344.0,594017657.0,21.70009,58.49999,2.37,426915712711.146,8.877031169637172,214697142.857166,604.693683099136,32.9312779040239,75.4319836058588,1992,China
1150780000.0,564229094.0,586550906.0,21.39979,59.69999,2.37,383373318083.624,8.877031169637172,779019512.195068,548.953753106589,33.2584735412724,74.8319675985941,1991,China
1135185000.0,556822315.0,578362685.0,25.29191678571428,43.16554928571429,3.929642857142857,360857912565.966,8.877031169637172,964871128.107044,510.619854913516,34.083614045282,75.709160650649,1990,China
