Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
66460344.0,33662065.0,32798279.0,18.12584,1.070025,4.0,2878152147315.82,0.927873912002198,-39229883074.5982,4908.445553383698,10.99,91.71115685034363,2018,Great Britain
66058859.0,33477363.0,32581496.0,18.26126,1.163051,4.33,2683399006715.79,2.01857556324174,-28893082281.1085,4908.445553383698,9.7,91.71115685034363,2017,Great Britain
65611593.0,33270675.0,32340918.0,18.47305,1.125685,4.81,2699659680997.2,0.990839431076694,-63118855915.2977,4908.445553383698,8.6,91.71115685034363,2016,Great Britain
65116219.0,33041408.0,32074811.0,18.66107,1.138458,5.3,2934857946213.47,2.43215471417693,-63810692067.0913,4908.445553383698,8.61,80.3517712672552,2015,Great Britain
64602298.0,32802913.0,31799385.0,18.96643,1.25617,6.11,3065223279583.79,3.14538018048145,-54795748844.8578,5130.39025330028,7.36,82.7165784999401,2014,Great Britain
64128273.0,32584323.0,31543950.0,18.86712,1.058777,7.52,2786315215249.95,1.27504840142667,-49434029713.0323,5409.62642171886,6.02,83.5597408024201,2013,Great Britain
63700215.0,32390769.0,31309446.0,19.0669,1.188861,7.88,2706340967030.68,-0.322068347419318,-25126096924.8285,5449.25947267211,4.77,85.1398122284243,2012,Great Britain
63258810.0,32189405.0,31069406.0,19.17743,1.220258,8.04,2666403005061.42,0.210979007240681,11168953545.1233,5471.93347456267,4.44,85.5631857323452,2011,Great Britain
62766365.0,31960504.0,30805860.0,19.20978,1.215894,7.79,2491397494467.95,2.45886617102968,1032171382.75915,5700.85586444268,3.67,88.1681056757852,2010,Great Britain
62276270.0,31732553.0,30543717.0,19.6111,1.110425,7.54,2417638261411.43,-4.58983765044013,-20345848262.9693,5643.1285945674,3.38,87.3677353696343,2009,Great Britain
61806995.0,31516343.0,30290652.0,22.00364,1.080865,5.62,2931501838235.29,-3.46200644062135,-38779411764.7059,6015.72686068947,2.79,90.1786954654442,2008,Great Britain
61322463.0,31293296.0,30029168.0,22.18859,1.366008,5.26,3092821128451.38,1.05284335513392,-28387354941.9768,6102.39676772278,1.84,89.6197550100188,2007,Great Britain
60846820.0,31072904.0,29773916.0,22.06249,1.352435,5.35,2709911683532.66,-0.185962047156522,-10791168353.2659,6200.5541127704,1.55,88.6059098969806,2006,Great Britain
60401206.0,30867389.0,29533818.0,22.21587,1.376775,4.75,2544805454545.45,2.42875989894031,26227272727.2727,6270.98405949047,1.35,88.1574477501595,2005,Great Britain
59987905.0,30678379.0,29309526.0,22.30175,1.27648,4.59,2422958623214.94,2.46426258003696,19761991944.3427,6138.75413718816,1.14,88.619731855703,2004,Great Britain
59647577.0,30526615.0,29120962.0,23.34059,1.248837,4.81,2056612244897.96,2.90496812277522,23355102040.8163,6174.55089583941,0.93,88.8249825531305,2003,Great Britain
59370479.0,30406325.0,28964154.0,23.91145,1.385764,5.04,1785843824940.05,2.77504583573169,20526079136.6906,6142.74983363365,0.97,88.5344283793587,2002,Great Britain
59119673.0,30296779.0,28822894.0,24.63995,1.392294,4.7,1648658413703.76,2.09271646281147,8782208147.40176,6141.98255122284,0.85,87.8289753643526,2001,Great Britain
58892514.0,30197282.0,28695232.0,25.16733,1.534506,5.56,1666126494174.61,3.47159934003547,4451505522.77198,6114.52925918564,0.96,88.410363733096,2000,Great Britain
58682466.0,30105897.0,28576570.0,25.8117,1.553944,6.04,1689289758938.68,1.57889191017419,-5879307555.41175,6007.48441621387,0.948917657048062,87.2351552257112,1999,Great Britain
58487141.0,30020559.0,28466582.0,26.66609,1.718116,6.2,1655061278569.06,6.04579716603624,5800412388.20802,5908.87149023065,1.02970432391514,86.7706354103542,1998,Great Britain
58316954.0,29946015.0,28370938.0,26.86271,1.854229,7.07,1561807465618.86,7.39801515698315,-3223726260.64178,5831.95754702826,1.02847968902927,86.7195189128757,1997,Great Britain
58166950.0,29879838.0,28287113.0,27.42453,1.948501,8.19,1421619344773.79,3.7120687277006,-4964773790.95164,5815.82840427425,0.943586897127666,87.5697616197006,1996,Great Britain
58019030.0,29811848.0,28207182.0,27.42423,2.053584,8.69,1346184314344.33,0.627627017043437,-5529940034.71674,5575.8084890423,1.06022909884603,87.7110281414457,1995,Great Britain
57865745.0,29738839.0,28126906.0,27.78102,2.080274,9.65,1140489745944.29,5.52677199475188,-2109951025.40557,5380.26426515376,1.02142848392085,87.790038216291,1994,Great Britain
57718614.0,29668038.0,28050576.0,29.39198,2.047424,10.35,1061388722255.55,3.84687132847755,-6020373425.31494,5491.98911810322,0.775204971316571,87.7901654311314,1993,Great Britain
57580402.0,29600247.0,27980155.0,29.90596,2.209888,9.77,1179659529659.53,2.27158916168868,-5432537732.53773,5452.3933334123,0.840737795568959,89.2127447919554,1992,Great Britain
57424897.0,29521874.0,27903023.0,30.47454,2.273666,8.55,1142797178130.51,-0.690631631887001,-8827185185.18519,5451.67717061817,0.608264131136578,90.1991745971751,1991,Great Britain
57247586.0,29430816.0,27816770.0,23.14265714285714,1.4750426428571426,6.553928571428571,1093169389204.55,1.17793625036281,-9331892755.68182,5356.57521000099,0.651133978423517,90.6525858303153,1990,Great Britain
57076711.0,29342658.0,27734053.0,23.14265714285714,1.4750426428571426,6.553928571428571,926884816753.927,1.61182331042518,-5880935863.87435,5295.22452686526,3.0630236905631945,89.9276908120609,1989,Great Britain
56928327.0,29265403.0,27662925.0,23.14265714285714,1.4750426428571426,6.553928571428571,910122732123.799,5.30710488956802,-4294155104.94486,5232.73764921987,3.0630236905631945,91.2895043151177,1988,Great Britain
56802050.0,29197428.0,27604622.0,23.14265714285714,1.4750426428571426,6.553928571428571,745162608269.325,4.07614221838716,-4111642425.23288,5082.43980630981,3.0630236905631945,92.3375625029771,1987,Great Britain
56681396.0,29131292.0,27550103.0,23.14265714285714,1.4750426428571426,6.553928571428571,601452653180.885,5.09579478320801,-2491487833.47992,4953.65357621044,3.0630236905631945,92.069965513976,1986,Great Britain
56550268.0,29059522.0,27490745.0,23.14265714285714,1.4750426428571426,6.553928571428571,489285164271.047,2.34462270855782,-3672693788.50103,4826.71452591524,3.0630236905631945,91.895551631486,1985,Great Britain
56422072.0,28988606.0,27433466.0,23.14265714285714,1.4750426428571426,6.553928571428571,461487097632.349,2.03267116804807,-1882745411.01357,4597.73969307614,3.0630236905631945,92.422532273823,1984,Great Britain
56332848.0,28937208.0,27395640.0,23.14265714285714,1.4750426428571426,6.553928571428571,489618008185.539,3.88682518181295,-2664373199.93937,4549.17528756934,3.0630236905631945,92.956423340398,1983,Great Britain
56313641.0,28923024.0,27390617.0,23.14265714285714,1.4750426428571426,6.553928571428571,515048916841.37,2.12245160491744,-4705258560.44724,4480.33541287092,3.0630236905631945,93.8062299427888,1982,Great Britain
56333829.0,28930335.0,27403494.0,23.14265714285714,1.4750426428571426,6.553928571428571,540765675241.158,-1.35791989333414,-4290576768.48875,4572.95384625817,3.0630236905631945,94.6628254520697,1981,Great Britain
56314216.0,28918046.0,27396170.0,23.14265714285714,1.4750426428571426,6.553928571428571,564947710899.373,-1.53955291408118,-4884643272.13572,4683.93273911511,3.0630236905631945,94.9688920896348,1980,Great Britain
56246951.0,28883344.0,27363607.0,23.14265714285714,1.4750426428571426,6.553928571428571,438994070309.191,1.23021554944064,-2504987293.51969,4922.91573280123,3.0630236905631945,95.2324687893839,1979,Great Britain
56196504.0,28859166.0,27337338.0,23.14265714285714,1.4750426428571426,6.553928571428571,335883029721.956,5.01855613667142,-1092496644.2953,4729.84938707219,3.0630236905631945,95.1401604440737,1978,Great Britain
56193492.0,28860651.0,27332841.0,23.14265714285714,1.4750426428571426,6.553928571428571,263066457352.172,0.449188691983224,-1252300715.15786,4668.42316900327,3.0630236905631945,94.8171457401454,1977,Great Britain
56211968.0,28875455.0,27336512.0,23.14265714285714,1.4750426428571426,6.553928571428571,232614555256.065,1.46265172822643,320988319.856244,4587.68851501517,3.0630236905631945,95.2139511109907,1976,Great Britain
56225800.0,28889090.0,27336711.0,23.14265714285714,1.4750426428571426,6.553928571428571,241756637168.142,1.23795666939237,142763274.336283,4492.42162850506,3.0630236905631945,95.869262426636,1975,Great Britain
56229974.0,28898904.0,27331069.0,23.14265714285714,1.4750426428571426,6.553928571428571,206131369798.971,-5.68887503826788,906089294.062646,4534.25427513091,3.0630236905631945,95.6598410202742,1974,Great Britain
56194527.0,28890515.0,27304012.0,23.14265714285714,1.4750426428571426,6.553928571428571,192537971582.558,3.97338382819548,843324350.808427,4671.71829740644,3.0630236905631945,96.499588911977,1973,Great Britain
56086065.0,28845477.0,27240589.0,23.14265714285714,1.4750426428571426,6.553928571428571,169965034965.035,3.01948234051437,289592907.092907,4372.63694645007,3.0630236905631945,96.1994913363789,1972,Great Britain
55896223.0,28759083.0,27137139.0,23.14265714285714,1.4750426428571426,6.553928571428571,148113896325.14,1.05368896129283,453217327.816987,4254.65241184543,3.0630236905631945,96.4164484727908,1971,Great Britain
55663250.0,28650499.0,27012750.0,23.14265714285714,1.4750426428571426,6.553928571428571,130671946244.3,1.8525247395165316,515553155.74754,4166.93240153962,3.0630236905631945,96.483873958333,1970,Great Britain
55441750.0,28546014.0,26895736.0,23.14265714285714,1.4750426428571426,6.553928571428571,116464702803.218,1.8525247395165316,-8024141455.622498,4006.33096898998,3.0630236905631945,95.9861596067839,1969,Great Britain
55211700.0,28437297.0,26774403.0,23.14265714285714,1.4750426428571426,6.553928571428571,107759910067.889,1.8525247395165316,-8024141455.622498,3762.59017563306,3.0630236905631945,96.1744474187115,1968,Great Britain
54943600.0,28310001.0,26633598.0,23.14265714285714,1.4750426428571426,6.553928571428571,113116888210.787,1.8525247395165316,-8024141455.622498,3506.88706236941,3.0630236905631945,96.4875453979975,1967,Great Britain
54648500.0,28168529.0,26479971.0,23.14265714285714,1.4750426428571426,6.553928571428571,108572752102.045,1.8525247395165316,-8024141455.622498,3425.80308700147,3.0630236905631945,96.8766932973598,1966,Great Britain
54348050.0,28024396.0,26323655.0,23.14265714285714,1.4750426428571426,6.553928571428571,101824755078.991,1.8525247395165316,-8024141455.622498,3330.18387964242,3.0630236905631945,97.6170231109173,1965,Great Britain
54000000.0,27856762.0,26143238.0,23.14265714285714,1.4750426428571426,6.553928571428571,94407558351.1616,1.8525247395165316,-8024141455.622498,3127.46296296296,3.0630236905631945,98.6064971913892,1964,Great Britain
53650000.0,27689292.0,25960708.0,23.14265714285714,1.4750426428571426,6.553928571428571,86561961812.3249,1.8525247395165316,-8024141455.622498,3002.08760484623,3.0630236905631945,98.8681318411575,1963,Great Britain
53250000.0,27496932.0,25753068.0,23.14265714285714,1.4750426428571426,6.553928571428571,81247564156.8246,1.8525247395165316,-8024141455.622498,2780.6572769953,3.0630236905631945,99.2077619254778,1962,Great Britain
52800000.0,27280397.0,25519603.0,23.14265714285714,1.4750426428571426,6.553928571428571,77741965703.3544,1.8525247395165316,-8024141455.622498,2553.69318181818,3.0630236905631945,99.3683757809818,1961,Great Britain
52400000.0,27090467.0,25309533.0,23.14265714285714,1.4750426428571426,6.553928571428571,73233967692.1028,1.8525247395165316,-8024141455.622498,2412.13740458015,3.0630236905631945,99.4647102021474,1960,Great Britain
