Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
1369003306.0,661854076.0,707149230.0,24.9491,43.32882,7.65,2702929718960.46,4.69524238306191,-28935365554.0603,334.24885481537933,32.82,54.656074326897304,2018,India
1354195680.0,654607791.0,699587889.0,24.84621,43.93962,7.733,2651472946375.05,7.15274017672908,-28673171869.0123,334.24885481537933,32.41,54.656074326897304,2017,India
1338636340.0,647012921.0,691623419.0,24.71281,44.52136,7.842,2294797980509.01,6.26553762267844,-46857856463.2037,334.24885481537933,33.02,54.656074326897304,2016,India
1322866505.0,639323292.0,683543213.0,24.58389,45.15931,7.915,2103587813812.75,7.58020442548266,-24405488069.8351,334.24885481537933,33.4,54.656074326897304,2015,India
1307246509.0,631697152.0,675549357.0,24.52794,45.7835,7.981,2039127446299.3,5.69478995745911,-24112069637.7053,797.349232010839,33.85,73.5769790878008,2014,India
1291132063.0,623809180.0,667322883.0,24.43316,46.42778,8.037,1856722121394.42,4.38012870302127,-23120564441.7779,758.110675158719,34.85,72.2854586440549,2013,India
1274487215.0,615647779.0,658839435.0,24.35509,47.00424,8.095,1827637859506.25,4.70669688568326,-21460196915.5895,718.295946185698,34.75,72.419079459491,2012,India
1257621191.0,607376801.0,650244390.0,23.11097,49.25777,8.168,1823049927772.05,3.19014967624733,-16031217720.6473,692.779356959802,35.01,71.4717185048681,2011,India
1240613620.0,599047591.0,641566029.0,21.80913,51.51537,8.319,1675615335600.56,8.52089241405558,-17955015341.6648,637.125844225376,36.16,71.4046951586205,2010,India
1223640160.0,590747758.0,632892402.0,21.11693,52.47509,8.384,1341886602798.69,9.38732472778551,-8009493357.38992,595.605655832676,37.41,71.1434979201925,2009,India
1206734806.0,582492785.0,624242020.0,20.5327,53.3906,8.354,1198895582137.51,0.269864819755526,-7158169832.3245,558.426753458539,39.37,69.0051215885826,2008,India
1189691809.0,574185530.0,615506279.0,19.99622,54.17196,8.536,1216735441524.86,6.66702055567181,-5094794675.70112,538.786595949405,41.53,67.8834329697327,2007,India
1172373788.0,565762395.0,606611392.0,19.37125,55.09983,8.625,940259888792.141,6.06539747179482,-7344611542.66898,506.222508618557,43.16,66.8056737084907,2006,India
1154638713.0,557161047.0,597477666.0,18.8042,55.99824,8.7,820381595512.902,6.68687511311515,-5898774890.67977,465.176677304081,44.16,65.9898036089149,2005,India
1136264583.0,548274218.0,587990365.0,18.27897,56.75876,8.531,709148514804.659,8.49687688976417,-4979769339.3098,448.972015525718,44.92,65.5837437121253,2004,India
1117415123.0,539178882.0,578236241.0,17.55719,57.7151,8.36,607699285433.872,7.76755647067876,-4506392470.48583,428.213284527025,45.63,64.5192394352755,2003,India
1098313039.0,529978166.0,568334873.0,17.07546,58.44382,8.102,514937948870.08,3.10302186588206,-3447912556.47532,408.776900626416,45.75,64.329205786967,2002,India
1078970907.0,520679574.0,558291332.0,16.66095,59.08598,7.957,485441014538.638,-0.764543251542051,-4207692436.72107,392.360903573464,47.11,63.6479663387743,2001,India
1059633675.0,511410095.0,548223581.0,16.31992,59.64473,7.77,468394937262.37,3.60230704351379,-4975977060.55532,392.510175745406,46.88,63.7273945117512,2000,India
1040500054.0,502255693.0,538244360.0,16.16015,60.10669,7.709,458820417337.807,0.649858793407645,-3560928781.42437,391.119633714118,51.7172937036599,63.4604001610669,1999,India
1021434576.0,493147162.0,528287413.0,15.96089,60.68718,7.487,421351477504.743,5.2413962843997,-3558539496.26981,385.126966761305,52.7122557076625,62.0158176745031,1998,India
