Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
126811000.0,65140618.0,61670382.0,24.43857,3.396733,2.47,5037835383110.97,-0.660257380089419,192796477397.602,5651.901469530437,7.22,88.65398466818677,2018,Japan
126972000.0,65206949.0,61765051.0,24.75711,3.325158,2.82,4930837369151.42,1.81732067124622,182413336169.474,5651.901469530437,6.92,88.65398466818677,2017,Japan
127076000.0,65245704.0,61830297.0,24.77501,3.383711,3.13,5003677627544.24,0.90599411188694,174116141695.326,5651.901469530437,6.39,88.65398466818677,2016,Japan
127141000.0,65267090.0,61873910.0,25.08391,3.497725,3.39,4444930651964.18,4.0508688337983,174840516749.234,5651.901469530437,6.16,93.0264551074629,2015,Japan
127276000.0,65324683.0,61951317.0,25.306,3.524867,3.59,4896994405353.29,0.42979881708473,182026899407.216,7819.71463590936,5.58,94.4074689015954,2014,Japan
127445000.0,65398896.0,62046104.0,25.36435,3.592824,4.04,5212328181166.18,2.89550224646078,179278466980.83,7988.58331044764,5.05,94.6333015307236,2013,Japan
127629000.0,65480007.0,62148992.0,25.47757,3.752523,4.36,6272362996105.03,1.92892212818101,173173594859.003,7998.34677071825,4.68,94.6215528538495,2012,Japan
127833000.0,65569426.0,62263573.0,25.68014,3.699158,4.55,6233147172341.35,-0.892375680936382,181249720017.308,8099.59869517261,4.82,89.7659420746634,2011,Japan
128070000.0,65672237.0,62397763.0,25.79795,3.938459,5.1,5759071769013.11,5.09184407681471,153405322119.677,8594.90903412197,4.66,80.9109544217641,2010,Japan
128047000.0,65637199.0,62409801.0,26.38239,4.064163,5.07,5289493117993.89,-5.48441613731653,132942040245.762,8020.27380571196,4.51,81.228056042313,2009,Japan
128063000.0,65618491.0,62444510.0,27.60176,4.104017,4.0,5106679115127.3,-4.6800346486885,137182358660.791,8270.00773057011,4.44,83.2154545824347,2008,Japan
128001000.0,65557955.0,62443045.0,28.16788,4.121542,3.89,4579750920354.81,1.07209283100018,140341476049.544,8710.0257029242,4.29,83.4827149233339,2007,Japan
127854000.0,65451729.0,62402271.0,28.4936,4.16344,4.19,4601663122649.92,0.44283996013705,122965486464.665,8542.47813912744,4.43,81.4531166986353,2006,Japan
127773000.0,65374871.0,62398129.0,28.55569,4.325865,4.45,4831467035389.8,1.20707144620489,107136570911.156,8539.01058909159,4.02,81.6118617644582,2005,Japan
127761000.0,65330634.0,62430367.0,28.98109,4.486617,4.73,4893116005656.56,2.44990938433045,94459900363.2398,8393.25772340542,4.26,82.7064733424108,2004,Japan
