Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
57339635.0,29517286.0,27822349.0,20.58729,15.69041,24.22,404159690890.846,-0.146706852049221,-11288811310.3469,3852.709787755473,10.19,87.40752773031039,2018,South Africa
56641209.0,29175940.0,27465269.0,20.53531,16.79855,23.99,381448814653.456,2.34784246368139,-10575832463.2499,3852.709787755473,10.45,87.40752773031039,2017,South Africa
56422274.0,29004108.0,27418165.0,20.73353,16.05315,24.02,323585509674.481,-1.3735761737492,-8291430980.09355,3852.709787755473,10.53,87.40752773031039,2016,South Africa
55876504.0,28721087.0,27155417.0,21.34431,15.46671,22.87,346709790458.563,1.27379071558356,-7943171747.43347,3852.709787755473,10.28,87.40752773031039,2015,South Africa
54729551.0,28228865.0,26500685.0,21.14231,14.02137,22.61,381198869776.106,0.0835265297546783,-9453635055.88138,4183.82749019812,9.85,86.7914316914016,2014,South Africa
53873616.0,27837495.0,26036121.0,20.91503,15.39265,22.04,400886013595.573,0.0552759356694565,-9691301734.67907,4270.81040931056,9.77,86.5753045830766,2013,South Africa
53145033.0,27493643.0,25651390.0,20.58532,16.21054,21.79,434400545085.811,0.479363063027321,-10883811008.6603,4340.36798885796,10.6,87.1552338062339,2012,South Africa
52443325.0,27164417.0,25278908.0,20.83465,17.64849,21.42,458201514136.977,1.36071952004681,-10719863381.5813,4528.0500425936,11.36,87.0396420075922,2011,South Africa
51784921.0,26857414.0,24927507.0,21.50392,16.57053,23.18,417365076968.257,2.30000529007401,-8131317270.39283,4492.77503001308,11.77,87.4612414084292,2010,South Africa
51170779.0,26570865.0,24599914.0,21.9589,17.7566,20.51,329753048857.052,3.54148910061558,-6627447278.04855,4368.11798389858,10.97,87.6756697252912,2009,South Africa
50565812.0,26287724.0,24278088.0,22.58128,17.85909,19.51,316132138757.081,-4.32907516382551,-8942405461.67627,4592.62871127235,11.55,88.1486688054943,2008,South Africa
49996094.0,26023987.0,23972107.0,27.16132,17.19837,19.543,333075462599.71,2.17883562664099,-9767791750.64581,4766.65237088321,10.36,87.7174554641475,2007,South Africa
49491756.0,25795511.0,23696246.0,27.83828,17.51223,19.635,303860874149.007,5.47069206883644,-5135494351.32541,4626.30584374497,10.74,87.1137981553145,2006,South Africa
49017147.0,25583854.0,23433293.0,28.40839,17.90388,19.744,288868489078.987,6.13590622110083,-4941581620.61862,4529.4149820674,10.98,87.1567180454355,2005,South Africa
48556071.0,25379489.0,23176582.0,28.79371,18.30645,19.866,255806631391.551,3.22645325176465,-4311345728.12979,4470.37817372003,12.29,86.9948355294109,2004,South Africa
48104048.0,25178665.0,22925383.0,27.84677,19.03484,20.015,197020241490.079,4.91055176465758,-4609435932.68735,4428.50464476503,13.05,86.0232801463329,2003,South Africa
47661514.0,24979734.0,22681781.0,28.3742,19.32831,20.088,129088132201.846,6.28398480867745,-2789188573.81388,4385.27823518153,13.88,84.8983427744315,2002,South Africa
47229714.0,24781908.0,22447806.0,27.75919,19.89609,20.217,135429607036.658,1.189428414251,-3737397202.99215,4151.05202627312,15.62,85.678084496442,2001,South Africa
46813266.0,24591889.0,22221377.0,26.96443,20.48108,20.266,151753369491.916,4.69417767136456,-3173578489.29364,4399.39396665894,16.25,84.2434264809192,2000,South Africa
46364681.0,24387653.0,21977029.0,26.85064,20.92114,20.419,151516560274.982,-0.214203249237428,-3208282183.48474,4275.58209663947,18.2213200307393,84.6527318056298,1999,South Africa
45852166.0,24148681.0,21703485.0,26.89223,21.22832,20.573,152982541794.042,-0.392512357642914,-3163359441.4196,4388.88753914046,17.272490038871,84.4570529558715,1998,South Africa
45285048.0,23879335.0,21405714.0,26.94325,21.41961,20.595,168976663845.486,1.82742612339391,-3221354166.66667,4574.02628788204,17.1071913418366,84.9071577134962,1997,South Africa
44661603.0,23507455.0,21154148.0,26.95664,21.67744,20.627,163236785802.34,2.28802684644999,-3112134533.52871,4450.89263813482,17.4377706017221,84.9935558795546,1996,South Africa
43986084.0,23025116.0,20960968.0,26.98271,21.95191,20.75,171735223677.318,3.58301596626227,-2874748421.60404,3916.51141301872,18.1130796760271,86.3013700350014,1995,South Africa
43267982.0,22522796.0,20745186.0,26.981,22.16486,20.828,153512625915.287,0.28628049143893,-2421707784.16132,3814.22919146079,18.5628815589559,86.1528321349113,1994,South Africa
42525440.0,22006067.0,20519374.0,27.00493,22.33571,20.971,147196639471.188,13.8247050786446,-2662423111.05671,3749.70840983656,18.585950063784,86.650110800266,1993,South Africa
41760755.0,21471959.0,20288796.0,27.08551,22.42476,21.159,146956872370.266,0.052642824522394,-2945652173.91304,3701.46564639456,18.3632170243738,85.1541575607375,1992,South Africa
40910959.0,20972094.0,19938864.0,27.23254,22.43978,21.194,135204432694.745,0.303048334799755,-3208271466.33832,3806.16841565606,17.4661188204403,86.2707908672794,1991,South Africa
39877570.0,20454959.0,19422611.0,24.957056785714286,18.77474535714286,21.16607142857143,126048148263.098,-3.09478106671459,-4267348624.83898,3911.67265206982,16.6278217077773,86.1560071464834,1990,South Africa
38668684.0,19858547.0,18810138.0,24.957056785714286,18.77474535714286,21.16607142857143,108055603481.557,-0.173911034303771,-3369457357.98626,3968.8187992123,13.732684167742324,85.7587484321716,1989,South Africa
37393853.0,19231343.0,18162510.0,24.957056785714286,18.77474535714286,21.16607142857143,103976854738.412,0.253041202895815,-3172246799.21749,3994.23937404899,13.732684167742324,87.1673524930403,1988,South Africa
36119333.0,18604223.0,17515110.0,24.957056785714286,18.77474535714286,21.16607142857143,96535747615.4047,2.92157027439831,-3116844845.42029,3964.55272305278,13.732684167742324,88.5555062554156,1987,South Africa
34877834.0,17993069.0,16884765.0,24.957056785714286,18.77474535714286,21.16607142857143,73354782108.5899,-4.85626380409002,-2945692219.05117,4039.069628005,13.732684167742324,88.0437417287456,1986,South Africa
33752964.0,17243333.0,16509631.0,24.957056785714286,18.77474535714286,21.16607142857143,64459376104.0419,-8.84453922219642,-2570585662.57635,3986.76098490195,13.732684167742324,88.7753766417448,1985,South Africa
32768207.0,16431317.0,16336890.0,24.957056785714286,18.77474535714286,21.16607142857143,84870134619.0537,5.93425030755274,-2993335152.80888,3920.87366879732,13.732684167742324,89.3491292378754,1984,South Africa
31865176.0,15739461.0,16125715.0,24.957056785714286,18.77474535714286,21.16607142857143,96204110958.8375,-0.977155637298949,-3356969751.97145,3685.90463771485,13.732684167742324,90.2656956031556,1983,South Africa
31022417.0,15130329.0,15892088.0,24.957056785714286,18.77474535714286,21.16607142857143,85904070613.6117,-2.50897613649738,-3127602210.68469,3644.81594067928,13.732684167742324,90.5062918186777,1982,South Africa
30232561.0,14600980.0,15631582.0,24.957056785714286,18.77474535714286,21.16607142857143,93141478234.6576,-1.97293364460342,-3579165185.95847,3569.42966227704,13.732684167742324,89.8817022811823,1981,South Africa
29463549.0,14186385.0,15277164.0,24.957056785714286,18.77474535714286,21.16607142857143,89411894560.978,7.04516393685763,-3325485114.42097,3410.96043792959,13.732684167742324,89.0295474101738,1980,South Africa
28697014.0,13862168.0,14834845.0,24.957056785714286,18.77474535714286,21.16607142857143,63038687892.9693,0.636965969277441,-2339604656.16333,3228.55890163346,13.732684167742324,88.7355332109377,1979,South Africa
27943445.0,13549026.0,14394419.0,24.957056785714286,18.77474535714286,21.16607142857143,51607399957.94,2.1580976452076,-1952699998.40855,3018.13180157278,13.732684167742324,89.0679306618312,1978,South Africa
27199838.0,13245666.0,13954172.0,24.957056785714286,18.77474535714286,21.16607142857143,45328399963.0574,-2.99058603019326,-1737649998.58382,2880.60539184094,13.732684167742324,89.0246469725816,1977,South Africa
26480300.0,12931705.0,13548594.0,24.957056785714286,18.77474535714286,21.16607142857143,41150449966.4624,-4.29660922848367,-1501899998.77595,2815.30043088636,13.732684167742324,89.2244037146374,1976,South Africa
25777964.0,12610329.0,13167635.0,24.957056785714286,18.77474535714286,21.16607142857143,42906919870.1343,-8.46798845726556,-1538861481.63293,2687.0236920185,13.732684167742324,88.7791232808579,1975,South Africa
25077016.0,12297952.0,12779064.0,24.957056785714286,18.77474535714286,21.16607142857143,41389185875.3114,3.12751740269832,-1249490410.27413,2574.54874216294,13.732684167742324,89.1592604020521,1974,South Africa
24382513.0,11991274.0,12391239.0,24.957056785714286,18.77474535714286,21.16607142857143,33262767310.8192,10.7977128488149,-925126569.923578,2455.44829608006,13.732684167742324,89.4228939751774,1973,South Africa
23698507.0,11690167.0,12008340.0,24.957056785714286,18.77474535714286,21.16607142857143,24515911652.1848,1.27378043991425,-702461651.925066,2347.19427683778,13.732684167742324,89.1788981397106,1972,South Africa
23031441.0,11392269.0,11639172.0,24.957056785714286,18.77474535714286,21.16607142857143,23411079378.0172,1.2171376612919966,-655745116.357506,2204.29108191711,13.732684167742324,89.6365378545042,1971,South Africa
22368306.0,11070685.0,11297621.0,24.957056785714286,18.77474535714286,21.16607142857143,21218391521.5551,1.2171376612919966,-663599734.838818,3852.709787755473,13.732684167742324,87.40752773031039,1970,South Africa
21704214.0,10725797.0,10978417.0,24.957056785714286,18.77474535714286,21.16607142857143,19256992305.291,1.2171376612919966,-599199760.57176,3852.709787755473,13.732684167742324,87.40752773031039,1969,South Africa
21050540.0,10385268.0,10665272.0,24.957056785714286,18.77474535714286,21.16607142857143,17124793157.2752,1.2171376612919966,-516599793.577055,3852.709787755473,13.732684167742324,87.40752773031039,1968,South Africa
20410677.0,10051232.0,10359445.0,24.957056785714286,18.77474535714286,21.16607142857143,15821393678.0875,1.2171376612919966,-449399820.42882,3852.709787755473,13.732684167742324,87.40752773031039,1967,South Africa
